body_id,field_id,westcan_value,sterling_value,upfit_supply_value,mercedes_oem_value,unit,minimum_published_value,maximum_published_value,variance,normalized_planning_value,normalization_rule,evidence_state,material_to_fitment,warning_required,notes
sprinter-144-standard-roof,post_wheel_well_zone,17,,19,,in,17,19,2,17,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-144-standard-roof,total_available_cargo_space,117.125,,116,,in,116,117.125,1.125,116,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-144-standard-roof,rear_door_opening_height,,60.6,,61,in,60.6,61,0.4,60.6,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Smaller doorway height selected for preliminary clearance planning."
sprinter-144-standard-roof,overall_vehicle_length,,233.5,,234,in,233.5,234,0.5,234,largest_credible_clearance,derived_conservative,FALSE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported clearance envelope selected."
sprinter-144-standard-roof,oem_cargo_bed_length,,,,133,in,133,133,0,133,single_source_candidate,candidate,FALSE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","OEM cargo-bed length is not interchangeable with supplier usable-wall length."
sprinter-144-high-roof,usable_wall_height,74.75,,77.25,79,in,74.75,79,4.25,74.75,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-144-high-roof,overall_rear_width,61.125,,70,70,in,61.125,70,8.875,,unsupported_or_unclear_datum,unresolved,TRUE,"Candidate geometry;Verify before production;Physical fitment review required","Westcan van depth and supplier/OEM maximum width use different lateral datums; preserve both."
sprinter-144-high-roof,space_between_wheel_wells,,,53,53,in,53,53,0,53,single_source_candidate,candidate,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Matching source values retained as candidate pending physical verification."
sprinter-144-high-roof,wheel_well_length,36.5,,36,,in,36,36.5,0.5,36.5,largest_credible_obstruction,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported obstruction dimension selected."
sprinter-144-high-roof,wheel_well_height,12.5,,12,,in,12,12.5,0.5,12.5,largest_credible_obstruction,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported obstruction dimension selected."
sprinter-144-high-roof,wheel_well_depth,8.5,,9,,in,8.5,9,0.5,9,largest_credible_obstruction,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported obstruction dimension selected."
sprinter-144-high-roof,driver_side_usable_space,116.375,,116,,in,116,116.375,0.375,116,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-144-high-roof,passenger_side_usable_space,64.625,,71,,in,64.625,71,6.375,64.625,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-144-high-roof,partition_depth_or_zone,7.5,,9,,in,7.5,9,1.5,9,highest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Partition zone and depth are distinct terms; highest intrusion selected pending physical datum."
sprinter-144-high-roof,door_opening_width,51.75,,51.5,50,in,50,51.75,1.75,50,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-144-high-roof,door_to_wheel_well_distance,11.375,,16,,in,11.375,16,4.625,16,largest_credible_clearance,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported clearance envelope selected."
sprinter-144-high-roof,wheel_well_to_rear_distance,53.25,,,,in,53.25,53.25,0,53.25,single_source_candidate,candidate,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Westcan driver-side datum retained; passenger-side supplier segment is preserved separately as post-wheel-well zone."
sprinter-144-high-roof,pre_wheel_well_zone,11.375,,16,,in,11.375,16,4.625,11.375,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-144-high-roof,post_wheel_well_zone,16.75,,19,,in,16.75,19,2.25,16.75,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-144-high-roof,total_available_cargo_space,116.375,,116,,in,116,116.375,0.375,116,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-144-high-roof,rear_door_opening_height,,72.4,,73,in,72.4,73,0.6,72.4,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Smaller doorway height selected for preliminary clearance planning."
sprinter-144-high-roof,overall_vehicle_length,,233.5,,234,in,233.5,234,0.5,234,largest_credible_clearance,derived_conservative,FALSE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported clearance envelope selected."
sprinter-144-high-roof,oem_cargo_bed_length,,,,133,in,133,133,0,133,single_source_candidate,candidate,FALSE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","OEM cargo-bed length is not interchangeable with supplier usable-wall length."
sprinter-170-high-roof,usable_wall_height,74.75,,72,79,in,72,79,7,72,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-170-high-roof,overall_rear_width,61.125,,70,70,in,61.125,70,8.875,,unsupported_or_unclear_datum,unresolved,TRUE,"Candidate geometry;Verify before production;Physical fitment review required","Westcan van depth and supplier/OEM maximum width use different lateral datums; preserve both."
sprinter-170-high-roof,space_between_wheel_wells,,,53,53,in,53,53,0,53,single_source_candidate,candidate,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Matching source values retained as candidate pending physical verification."
sprinter-170-high-roof,wheel_well_length,36.5,,36,,in,36,36.5,0.5,36.5,largest_credible_obstruction,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported obstruction dimension selected."
sprinter-170-high-roof,wheel_well_height,12.5,,12,,in,12,12.5,0.5,12.5,largest_credible_obstruction,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported obstruction dimension selected."
sprinter-170-high-roof,wheel_well_depth,8.5,,9,,in,8.5,9,0.5,9,largest_credible_obstruction,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported obstruction dimension selected."
sprinter-170-high-roof,driver_side_usable_space,156.875,,155,,in,155,156.875,1.875,155,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-170-high-roof,passenger_side_usable_space,105.125,,110,,in,105.125,110,4.875,105.125,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-170-high-roof,partition_depth_or_zone,7.5,,9,,in,7.5,9,1.5,9,highest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Partition zone and depth are distinct terms; highest intrusion selected pending physical datum."
sprinter-170-high-roof,door_opening_width,51.75,,51.5,51,in,51,51.75,0.75,51,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-170-high-roof,door_to_wheel_well_distance,37.3125,,42,,in,37.3125,42,4.6875,42,largest_credible_clearance,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported clearance envelope selected."
sprinter-170-high-roof,wheel_well_to_rear_distance,67.8125,,,,in,67.8125,67.8125,0,67.8125,single_source_candidate,candidate,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Westcan driver-side datum retained; passenger-side supplier segment is preserved separately as post-wheel-well zone."
sprinter-170-high-roof,pre_wheel_well_zone,37.3125,,42,,in,37.3125,42,4.6875,37.3125,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-170-high-roof,post_wheel_well_zone,31.3125,,32,,in,31.3125,32,0.6875,31.3125,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-170-high-roof,total_available_cargo_space,156.875,,155,,in,155,156.875,1.875,155,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-170-high-roof,rear_door_opening_height,,72.7,,73,in,72.7,73,0.3,72.7,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Smaller doorway height selected for preliminary clearance planning."
sprinter-170-high-roof,overall_vehicle_length,,274.3,,274,in,274,274.3,0.3,274.3,largest_credible_clearance,derived_conservative,FALSE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported clearance envelope selected."
sprinter-170-high-roof,oem_cargo_bed_length,,,,174,in,174,174,0,174,single_source_candidate,candidate,FALSE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","OEM cargo-bed length is not interchangeable with supplier usable-wall length."
sprinter-170-extended-high-roof,usable_wall_height,74.75,,72,79,in,72,79,7,72,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-170-extended-high-roof,overall_rear_width,61.125,,70,70,in,61.125,70,8.875,,unsupported_or_unclear_datum,unresolved,TRUE,"Candidate geometry;Verify before production;Physical fitment review required","Westcan van depth and supplier/OEM maximum width use different lateral datums; preserve both."
sprinter-170-extended-high-roof,space_between_wheel_wells,,,53,53,in,53,53,0,53,single_source_candidate,candidate,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Matching source values retained as candidate pending physical verification."
sprinter-170-extended-high-roof,wheel_well_length,36.5,,36,,in,36,36.5,0.5,36.5,largest_credible_obstruction,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported obstruction dimension selected."
sprinter-170-extended-high-roof,wheel_well_height,12.5,,12,,in,12,12.5,0.5,12.5,largest_credible_obstruction,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported obstruction dimension selected."
sprinter-170-extended-high-roof,wheel_well_depth,8.5,,9,,in,8.5,9,0.5,9,largest_credible_obstruction,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported obstruction dimension selected."
sprinter-170-extended-high-roof,driver_side_usable_space,172.625,,170.5,,in,170.5,172.625,2.125,170.5,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-170-extended-high-roof,passenger_side_usable_space,121,,124.5,,in,121,124.5,3.5,121,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected. Upfit label is 124.5 while displayed segment arithmetic totals 125.5."
sprinter-170-extended-high-roof,partition_depth_or_zone,7.5,,9,,in,7.5,9,1.5,9,highest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Partition zone and depth are distinct terms; highest intrusion selected pending physical datum."
sprinter-170-extended-high-roof,door_opening_width,51.625,,51.5,51,in,51,51.625,0.625,51,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-170-extended-high-roof,door_to_wheel_well_distance,37.4375,,42,,in,37.4375,42,4.5625,42,largest_credible_clearance,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported clearance envelope selected."
sprinter-170-extended-high-roof,wheel_well_to_rear_distance,83.5625,,,,in,83.5625,83.5625,0,83.5625,single_source_candidate,candidate,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Westcan driver-side datum retained; passenger-side supplier segment is preserved separately as post-wheel-well zone."
sprinter-170-extended-high-roof,pre_wheel_well_zone,37.4375,,42,,in,37.4375,42,4.5625,37.4375,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-170-extended-high-roof,post_wheel_well_zone,47.0625,,47.5,,in,47.0625,47.5,0.4375,47.0625,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-170-extended-high-roof,total_available_cargo_space,172.625,,170.5,,in,170.5,172.625,2.125,170.5,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-170-extended-high-roof,rear_door_opening_height,,72.7,,73,in,72.7,73,0.3,72.7,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Smaller doorway height selected for preliminary clearance planning."
sprinter-170-extended-high-roof,overall_vehicle_length,,290,,290,in,290,290,0,290,largest_credible_clearance,derived_conservative,FALSE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported clearance envelope selected."
sprinter-170-extended-high-roof,oem_cargo_bed_length,,,,189,in,189,189,0,189,single_source_candidate,candidate,FALSE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","OEM cargo-bed length is not interchangeable with supplier usable-wall length."
